WKT,id,name
"POINT (17.4439574061387 -3.27439630533412)",2139,DIM 2018/1000/1
"POINT (17.4412919681283 -3.2751777354109)",2140,DIM 2018/1000/2
"POINT (17.4412669389873 -3.27544744804248)",2141,DIM 2018/1000/3
"POINT (17.4172774125848 -3.29820013006788)",2143,BAD 2018/1000/1
"POINT (17.4142395541828 -3.29910741459388)",2144,BAD 2018/1000/2
"POINT (17.4142933311475 -3.29930487540984)",2145,BAD 2018/1000/3
"POINT (17.4306304456553 -3.32339290880736)",2146,BAD 2018/1000/4
"POINT (17.4318096944928 -3.32318401843478)",2147,BAD 2018/1000/5
"POINT (17.4384352030995 -3.3226521018829)",2148,BAD 2018/1000/6
"POINT (17.4393989380437 -3.3222794608767)",2149,BAD 2018/1000/7
"POINT (17.4449916727084 -3.32292686668571)",2150,BAD 2018/1000/8
"POINT (17.4473350588411 -3.32224570572379)",2151,BAD 2018/1000/9
"POINT (17.4676993612446 -3.33395491898625)",2159,ELA 2018/1000/1
"POINT (17.469349428013 -3.33583861847742)",2160,ELA 2018/1000/2
"POINT (17.4747054026531 -3.34059716373035)",2161,ELA 2018/1000/3
"POINT (17.4320152310604 -3.32359356533561)",2152,BAD 2018/1000/10
"POINT (17.4326399208658 -3.32362639662338)",2153,BAD 2018/1000/11
"POINT (17.4311962466231 -3.32337143046703)",2154,BAD 2018/1000/12
"POINT (17.4327570497218 -3.32333145293355)",2155,BAD 2018/1000/13
"POINT (17.4605545231978 -3.32803999066262)",2162,ELA 2018/1000/4
"POINT (17.4587739861593 -3.32735154073148)",2163,ELA 2018/1000/5
"POINT (17.4582145997977 -3.32689542999532)",2164,ELA 2018/1000/6
"POINT (17.4540995732213 -3.32518923335903)",2156,BAD 2018/1000/14
"POINT (17.4620150243649 -3.32978585764449)",2165,ELA 2018/1000/9
"POINT (17.4489924623861 -3.32261098243981)",2157,BAD 2018/1000/15
"POINT (17.3975164169034 -3.38020205242855)",2173,BAD 2018/1000/16
"POINT (17.3978037540528 -3.37555239873129)",2174,BAD 2018/1000/17
"POINT (17.39791958128 -3.37537805803502)",2175,BAD 2018/1000/18
"POINT (17.3977307718632 -3.37516295563155)",2176,BAD 2018/1000/19
"POINT (17.3936410769693 -3.3702749398077)",2177,BAD 2018/1000/20
"POINT (17.3912817291177 -3.36801724473455)",2178,BAD 2018/1000/21
"POINT (17.3886678333432 -3.36445105811913)",2179,BAD 2018/1000/22
"POINT (17.3847705607316 -3.35736112610543)",2181,BAD 2018/1000/24
"POINT (17.6311111576067 -3.51820968249335)",2194,MSY 2018/1000/3
"POINT (17.636054286521 -3.50938179715939)",2195,MSY 2018/1000/4
"POINT (17.6452887402569 -3.50577360352711)",2196,MSY 2018/1000/5
"POINT (17.6179667978772 -3.45904669902572)",2199,MBW 2018/1000/1
"POINT (17.4601895798235 -3.32499297220734)",2166,DIM 2018/1000/4
"POINT (17.4637035204502 -3.32551718968659)",2167,DIM 2018/1000/5
"POINT (17.4691244128509 -3.32631956208982)",2168,DIM 2018/1000/6
"POINT (17.4785704888497 -3.32650611021246)",2169,DIM 2018/1000/7
"POINT (17.4813519717747 -3.32713841173947)",2170,DIM 2018/1000/8
"POINT (17.4967771840426 -3.31095724305609)",2171,DIM 2018/1000/9
"POINT (17.4895544299412 -3.32269241984456)",2172,DIM 2018/1000/10
"POINT (16.2094213065398 -4.43579207670145)",2227,MBK 2018/1000/3
"POINT (16.2440930933755 -4.45901598295825)",2226,MBK 2018/1000/2
"POINT (16.2638632775529 -4.35873687809267)",2230,KZO 2018/1000/1
"POINT (16.2946229191708 -4.31558225593815)",2238,MMP 2018/1000/6
"POINT (16.2997273560748 -4.29342842278341)",2233,MMP 2018/1000/1
"POINT (16.2970662362441 -4.28522671815617)",2234,MMP 2018/1000/2
"POINT (16.2757217477957 -4.28627597035838)",2235,MMP 2018/1000/3
"POINT (16.2627018106321 -4.303444184532)",2236,MMP 2018/1000/4
